:START_ID(Version),:END_ID(Package)
0,207
1,223
2,196
3,196
4,196
5,198
6,195
7,199
8,202
9,200
10,197
11,197
12,197
13,201
14,233
15,233
16,233
17,233
18,222
19,209
20,213
21,215
22,211
23,211
24,211
25,214
26,214
27,210
28,210
29,210
30,212
31,212
32,194
33,194
34,176
35,177
36,178
37,224
38,229
39,229
40,225
41,225
42,230
43,230
44,227
45,227
46,228
47,228
48,226
49,226
50,232
51,232
52,243
53,247
54,246
55,183
56,183
57,183
58,182
59,182
60,29
61,83
62,83
63,165
64,43
65,43
66,43
67,167
68,27
69,31
70,35
71,35
72,35
73,11
74,10
75,4
76,7
77,7
78,2
79,1
80,1
81,6
82,6
83,3
84,8
85,8
86,12
87,5
88,5
89,5
90,9
91,79
92,34
93,34
94,34
95,16
96,16
97,141
98,141
99,141
100,137
101,143
102,143
103,143
104,145
105,145
106,145
107,158
108,158
109,158
110,144
111,144
112,144
113,138
114,138
115,138
116,153
117,153
118,149
119,149
120,149
121,156
122,156
123,147
124,147
125,147
126,139
127,139
128,139
129,154
130,154
131,151
132,151
133,151
134,150
135,150
136,150
137,157
138,157
139,135
140,148
141,148
142,148
143,155
144,155
145,152
146,152
147,152
148,146
149,146
150,146
151,142
152,142
153,142
154,136
155,140
156,140
157,140
158,19
159,57
160,90
161,65
162,65
163,59
164,59
165,59
166,59
167,59
168,66
169,66
170,68
171,68
172,62
173,62
174,62
175,62
176,62
177,70
178,64
179,64
180,77
181,77
182,77
183,63
184,63
185,74
186,74
187,72
188,72
189,69
190,76
191,76
192,60
193,75
194,75
195,73
196,73
197,61
198,61
199,61
200,61
201,61
202,67
203,67
204,71
205,71
206,28
207,30
208,44
209,164
210,164
211,162
212,163
213,161
214,160
215,160
216,87
217,87
218,172
219,169
220,170
221,171
222,168
223,168
224,85
225,85
226,41
227,46
228,131
229,133
230,133
231,132
232,88
233,49
234,49
235,40
236,40
237,40
238,36
239,86
240,50
241,37
242,37
243,51
244,51
245,47
246,48
247,52
248,239
249,217
250,217
251,217
252,235
253,235
254,234
255,190
256,242
257,188
258,184
259,245
260,244
261,244
262,216
263,216
264,180
265,181
266,203
267,203
268,208
269,175
270,175
271,175
272,175
273,175
274,175
275,175
276,174
277,174
278,174
279,174
280,174
281,174
282,174
283,231
284,231
285,193
286,193
287,193
288,192
289,192
290,179
291,173
292,204
293,204
294,204
295,206
296,206
297,205
298,166
299,14
300,78
301,78
302,78
303,78
304,15
305,17
306,18
307,80
308,33
309,33
310,32
311,81
312,82
313,56
314,55
315,55
316,54
317,54
318,20
319,42
320,58
321,26
322,26
323,25
324,24
325,84
326,159
327,159
328,159
329,159
330,159
331,0
332,0
333,0
334,0
335,13
336,23
337,23
338,23
339,23
340,23
341,21
342,21
343,21
344,22
345,22
346,22
347,45
348,53
349,89
350,39
351,112
352,102
353,114
354,97
355,95
356,120
357,113
358,129
359,122
360,119
361,123
362,123
363,123
364,123
365,123
366,123
367,99
368,117
369,103
370,118
371,98
372,121
373,106
374,106
375,109
376,94
377,107
378,105
379,104
380,101
381,100
382,96
383,116
384,128
385,115
386,93
387,93
388,111
389,126
390,125
391,110
392,127
393,108
394,124
395,134
396,38
397,38
398,38
399,130
400,92
401,92
402,91
403,186
404,185
405,241
406,241
407,241
408,240
409,237
410,237
411,236
412,238
413,191
414,221
415,221
416,221
417,220
418,220
419,220
420,220
421,187
422,187
423,187
424,187
425,187
426,187
427,219
428,218
429,189
430,189
431,189
432,189
433,189
434,189
435,189
